City,District,Neighborhood,Postal,Latitude,Longitude,2019,2018
Madrid,ARGANZUELA,IMPERIAL,28005,40.40555135,-3.714565767,15.7,14.6
Madrid,ARGANZUELA,ACACIAS,28005,40.40213472,-3.703169472,15.7,14.6
Madrid,ARGANZUELA,PALOS DE MOGUER,28045,40.4055751,-3.691396695,15.7,14.6
Madrid,ARGANZUELA,DELICIAS,28045,40.39428331,-3.693472831,15.7,14.6
Madrid,ARGANZUELA,ATOCHA,28045,40.39744511,-3.678351567,15.7,14.6
Madrid,ARGANZUELA,LEGAZPI,28045,40.39224302,-3.688149691,15.7,14.6
Madrid,BARAJAS,TIMON,28042,40.47070811,-3.584020927,11.9,12.3
Madrid,BARAJAS,ALAMEDA DE OSUNA,28042,40.45894746,-3.584791855,11.9,12.3
Madrid,BARAJAS,TIMON,28042,40.4704772,-3.590459755,11.9,12.3
Madrid,CARABANCHEL,COMILLAS,28019,40.39750351,-3.715010937,11.9,11.6
Madrid,CARABANCHEL,SAN ISIDRO,28019,40.39460546,-3.723240225,11.9,11.6
Madrid,CARABANCHEL,OPAÑEL,28019,40.38761084,-3.725250788,11.9,11.6
Madrid,CARABANCHEL,ABRANTES,28025,40.38481599,-3.725574252,11.9,11.6
Madrid,CARABANCHEL,PUERTA BONITA,28025,40.38091348,-3.742850001,11.9,11.6
Madrid,CARABANCHEL,BUENAVISTA,28044,40.36742549,-3.754197552,11.9,11.6
Madrid,CARABANCHEL,VISTA ALEGRE,28047,40.38607118,-3.746346887,11.9,11.6
Madrid,CENTRO,JUSTICIA,28004,40.42664222,-3.699722995,18.4,18.8
Madrid,CENTRO,UNIVERSIDAD,28004,40.42679289,-3.704581505,18.4,18.8
Madrid,CENTRO,PALACIO,28005,40.41108452,-3.711383151,18.4,18.8
Madrid,CENTRO,EMBAJADORES,28005,40.40612987,-3.706923355,18.4,18.8
Madrid,CENTRO,CORTES,28014,40.410557,-3.692920914,18.4,18.8
Madrid,CHAMARTIN,PROSPERIDAD,28002,40.4436806,-3.673545273,16.4,16.6
Madrid,CHAMARTIN,CIUDAD JARDIN,28002,40.45121887,-3.667724037,16.4,16.6
Madrid,CHAMARTIN,EL VISO,28002,40.4446238,-3.678636969,16.4,16.6
Madrid,CHAMARTIN,NUEVA ESPAÑA,28016,40.45953738,-3.679541863,16.4,16.6
Madrid,CHAMBERI,RIOS ROSAS,28003,40.44661264,-3.703113948,18.2,17.7
Madrid,CHAMBERI,VALLEHERMOSO,28003,40.43896509,-3.708835359,18.2,17.7
Madrid,CHAMBERI,TRAFALGAR,28010,40.43821121,-3.702460461,18.2,17.7
Madrid,CHAMBERI,ARAPILES,28015,40.43410369,-3.709739294,18.2,17.7
Madrid,CIUDAD LINEAL,PUEBLO NUEVO,28017,40.42374626,-3.636508278,13.7,13.1
Madrid,CIUDAD LINEAL,VENTAS,28017,40.42401892,-3.649041757,13.7,13.1
Madrid,CIUDAD LINEAL,SAN PASCUAL,28027,40.43724099,-3.654403894,13.7,13.1
Madrid,CIUDAD LINEAL,QUINTANA,28027,40.43747986,-3.642332638,13.7,13.1
Madrid,CIUDAD LINEAL,CONCEPCION,28027,40.43714842,-3.650052288,13.7,13.1
Madrid,CIUDAD LINEAL,COSTILLARES,28033,40.48064124,-3.666328344,13.7,13.1
Madrid,CIUDAD LINEAL,SAN JUAN BAUTISTA,28043,40.45116072,-3.65902024,13.7,13.1
Madrid,FUENCARRAL-EL PARDO,LA PAZ,28029,40.47540952,-3.702423295,12.3,12.1
Madrid,FUENCARRAL-EL PARDO,EL PILAR,28029,40.4745973,-3.714412446,12.3,12.1
Madrid,FUENCARRAL-EL PARDO,VALVERDE,28034,40.495511,-3.696048079,12.3,12.1
Madrid,FUENCARRAL-EL PARDO,MIRASIERRA,28034,40.49113904,-3.714198447,12.3,12.1
Madrid,FUENCARRAL-EL PARDO,PEÑA GRANDE,28035,40.48349349,-3.726718328,12.3,12.1
Madrid,FUENCARRAL-EL PARDO,EL PARDO,28048,40.51715727,-3.774264311,12.3,12.1
Madrid,FUENCARRAL-EL PARDO,EL GOLOSO,28049,40.51157829,-3.693818069,12.3,12.1
Madrid,HORTALEZA,HELLIN,28022,40.43333782,-3.612052175,12.7,13.4
Madrid,HORTALEZA,PINAR DEL REY,28033,40.47301835,-3.634543156,12.7,13.4
Madrid,HORTALEZA,APOSTOL SANTIAGO,28033,40.47897695,-3.659634306,12.7,13.4
Madrid,HORTALEZA,CANILLAS,28043,40.46144263,-3.645780808,12.7,13.4
Madrid,HORTALEZA,VALDEFUENTES,28050,40.48860267,-3.652554424,12.7,13.4
Madrid,LATINA,LUCERO,28011,40.40763407,-3.749873143,11.8,11.5
Madrid,LATINA,PUERTA DEL ANGEL,28011,40.41091985,-3.723403069,11.8,11.5
Madrid,LATINA,LAS AGUILAS,28024,40.38398261,-3.778898898,11.8,11.5
Madrid,LATINA,CAMPAMENTO,28024,40.39414214,-3.779298745,11.8,11.5
Madrid,LATINA,ALUCHE,28024,40.39083158,-3.760997851,11.8,11.5
Madrid,LATINA,LOS CARMENES,28047,40.3934735,-3.741232361,11.8,11.5
Madrid,MONCLOA-ARAVACA,CASA DE CAMPO,28008,40.42870179,-3.733708557,14.9,15.2
Madrid,MONCLOA-ARAVACA,ARGUELLES,28008,40.42491865,-3.714912145,14.9,15.2
Madrid,MONCLOA-ARAVACA,ARAVACA,28023,40.4605762,-3.785703746,14.9,15.2
Madrid,MONCLOA-ARAVACA,VALDEZARZA,28039,40.46916208,-3.717775718,14.9,15.2
Madrid,MORATALAZ,VINATEROS,28030,40.4038241,-3.643579974,11.4,10.8
Madrid,MORATALAZ,PAVONES,28030,40.39511351,-3.63357557,11.4,10.8
Madrid,MORATALAZ,MEDIA LEGUA,28030,40.40883802,-3.660292566,11.4,10.8
Madrid,MORATALAZ,MARROQUINA,28030,40.40943696,-3.649985933,11.4,10.8
Madrid,MORATALAZ,PAVONES,28030,40.40191354,-3.63391036,11.4,10.8
Madrid,MORATALAZ,FONTARRON,28030,40.40054024,-3.641156517,11.4,10.8
Madrid,PUENTE DE VALLECAS,PALOMERAS SURESTE,28018,40.3831086,-3.642605225,12,11.9
Madrid,PUENTE DE VALLECAS,PALOMERAS BAJAS,28018,40.38742707,-3.662805033,12,11.9
Madrid,PUENTE DE VALLECAS,PORTAZGO,28038,40.38819094,-3.647236725,12,11.9
Madrid,PUENTE DE VALLECAS,NUMANCIA,28038,40.4022043,-3.654488723,12,11.9
Madrid,PUENTE DE VALLECAS,SAN DIEGO,28053,40.38790371,-3.670762515,12,11.9
Madrid,PUENTE DE VALLECAS,ENTREVIAS,28053,40.38183462,-3.674884526,12,11.9
Madrid,RETIRO,ESTRELLA,28007,40.41586395,-3.665205626,16.1,15.8
Madrid,RETIRO,PACIFICO,28007,40.40472769,-3.679332107,16.1,15.8
Madrid,RETIRO,ADELFAS,28007,40.40084131,-3.673766252,16.1,15.8
Madrid,RETIRO,NIÑO JESUS,28009,40.4145497,-3.67435086,16.1,15.8
Madrid,RETIRO,IBIZA,28009,40.41901561,-3.677872722,16.1,15.8
Madrid,SALAMANCA,CASTELLANA,28006,40.43350061,-3.679668747,18.7,19.1
Madrid,SALAMANCA,FUENTE DEL BERRO,28028,40.42627963,-3.666557826,18.7,19.1
Madrid,SALAMANCA,GUINDALERA,28028,40.437286,-3.667020229,18.7,19.1
Madrid,SALAMANCA,RECOLETOS,28001,40.41669,-3.700346,18.7,19.1
Madrid,SAN BLAS-CANILLEJAS,HELLIN,28022,40.43333782,-3.612052175,11.7,11.8
Madrid,SAN BLAS-CANILLEJAS,REJAS,28022,40.44724009,-3.598027488,11.7,11.8
Madrid,SAN BLAS-CANILLEJAS,ARCOS,28022,40.42399738,-3.611684586,11.7,11.8
Madrid,SAN BLAS-CANILLEJAS,EL SALVADOR,28027,40.44309079,-3.624557171,11.7,11.8
Madrid,SAN BLAS-CANILLEJAS,SIMANCAS,28037,40.43011261,-3.628834506,11.7,11.8
Madrid,TETUAN,CUATRO CAMINOS,28020,40.45247841,-3.702962808,16,15.1
Madrid,TETUAN,CASTILLEJOS,28020,40.46160342,-3.69420003,16,15.1
Madrid,TETUAN,ALMENARA,28029,40.4729057,-3.699341839,16,15.1
Madrid,TETUAN,BELLAS VISTAS,28039,40.45242712,-3.711347229,16,15.1
Madrid,TETUAN,VALDEACEDERAS,28039,40.46327856,-3.703228723,16,15.1
Madrid,USERA,MOSCARDO,28026,40.38810859,-3.710375518,11.4,11.5
Madrid,USERA,ALMENDRALES,28026,40.38020037,-3.698252689,11.4,11.5
Madrid,USERA,ZOFIO,28026,40.37893066,-3.715839438,11.4,11.5
Madrid,USERA,ORCASUR,28041,40.37258948,-3.701248162,11.4,11.5
Madrid,USERA,ORCASITAS,28041,40.36931163,-3.705136837,11.4,11.5
Madrid,USERA,SAN FERMIN,28041,40.3704394,-3.689930272,11.4,11.5
Madrid,VICALVARO,CASCO H.VICALVARO,28032,40.40320138,-3.603694878,10.9,10
Madrid,VICALVARO,AMBROZ,28032,40.41031103,-3.613682106,10.9,10
Madrid,VILLA DE VALLECAS,SANTA EUGENIA,28031,40.38526054,-3.604406504,11.2,10.9
Madrid,VILLA DE VALLECAS,CASCO H.VALLECAS,28031,40.36803998,-3.622167743,11.2,10.9
Madrid,VILLA DE VALLECAS,SANTA EUGENIA,28031,40.38010209,-3.613949811,11.2,10.9
Madrid,VILLA DE VALLECAS,CASCO H.VALLECAS,28031,40.37490511,-3.623809361,11.2,10.9
Madrid,VILLAVERDE,LOS ROSALES,28021,40.35186683,-3.686184707,10.8,10.4
Madrid,VILLAVERDE,BUTARQUE,28021,40.34439346,-3.674746714,10.8,10.4
Madrid,VILLAVERDE,SAN CRISTOBAL,28021,40.34290689,-3.687000515,10.8,10.4
Madrid,VILLAVERDE,SAN ANDRES,28021,40.34604471,-3.70895673,10.8,10.4
Madrid,VILLAVERDE,LOS ANGELES,28021,40.34949911,-3.697947728,10.8,10.4
